descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
TANVIMIL GEL LUB GENITAL X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL GEL LUB GENITAL X 20 
TANVIMIL GEL LUB GENITAL X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL GEL LUB GENITAL X 60 
TANVIMIL GINSENG CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL GINSENG CAPS X 30 
TANVIMIL GINSENG CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL GINSENG CAPS X 60 
TANVIMIL ISOFLAVONAS DUO COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL ISOFLAVONAS DUO COMP X 30 
TANVIMIL ISOFLAVONAS DUO COMP X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL ISOFLAVONAS DUO COMP X 60 
TANVIMIL K COMP X 10,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL K COMP X 10 
TANVIMIL M CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL M CAPS X 30 
TANVIMIL M CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL M CAPS X 60 
TANVIMIL PLUS CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL PLUS CAPS X 30 
TANVIMIL PLUS CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL PLUS CAPS X 60 
TIOCTAN 600 MG X 30 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TIOCTAN 600 MG X 30 COMP. 
TRICOFIN 1 G COMP X 4,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TRICOFIN 1 G COMP X 4 
TRICOFIN 1 G COMP X 8,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TRICOFIN 1 G COMP X 8 
TRICOFIN 500 COMP X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TRICOFIN 500 COMP X 20 
TRICOFIN 500 OVULOS X 8,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TRICOFIN 500 OVULOS X 8 
TUERIS X 24 CAPS,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TUERIS X 24 CAPS 
TUERIS X 48 CAPS,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TUERIS X 48 CAPS 
VAGICURAL PLUS OVULOS X 12,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,VAGICURAL PLUS OVULOS X 12 
VAGICURAL PLUS OVULOS X 6,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,VAGICURAL PLUS OVULOS X 6 
"MANTIXA 2,5 MG X 30 COMP REC",,,,,CARDIOMETABOLISMO,,,,,,,,,,,,,,,,,"MANTIXA 2,5 MG X 30 COMP REC "
"MANTIXA 2,5 MG X 60 COMP REC",,,,,CARDIOMETABOLISMO,,,,,,,,,,,,,,,,,"MANTIXA 2,5 MG X 60 COMP REC "
MANTIXA 5 MG X 30 COMP REC,,,,,CARDIOMETABOLISMO,,,,,,,,,,,,,,,,,MANTIXA 5 MG X 30 COMP REC 
MANTIXA 5 MG X 60 COMP REC,,,,,CARDIOMETABOLISMO,,,,,,,,,,,,,,,,,MANTIXA 5 MG X 60 COMP REC 
ASPIRINA PREVENT 100 LAQ X 20(*),,,,,BAYER -Cardiometabolismo,,,,,,,,,,,,,,,,,ASPIRINA PREVENT 100 LAQ X 20(*) 
ASPIRINA PREVENT 100 LAQ X 50 (*),,,,,BAYER -Cardiometabolismo,,,,,,,,,,,,,,,,,ASPIRINA PREVENT 100 LAQ X 50 (*) 
FIRIALTA 10 mg comp x 28(*),,,,,BAYER -Cardiometabolismo,,,,,,,,,,,,,,,,,FIRIALTA 10 mg comp x 28(*) 
FIRIALTA 20 mg comp x 28(*),,,,,BAYER -Cardiometabolismo,,,,,,,,,,,,,,,,,FIRIALTA 20 mg comp x 28(*) 
MIRANOVA GRAGEAS X 21 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,MIRANOVA GRAGEAS X 21 (*) 
QLAIRA COMP.REC.X 28 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,QLAIRA COMP.REC.X 28 (*) 
YAZ COMP.REC.X 28 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,YAZ COMP.REC.X 28 (*) 
YASMIN COMP.REC.X 28 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,YASMIN COMP.REC.X 28 (*) 
YASMINELLE COMP.REC.X 28 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,YASMINELLE COMP.REC.X 28 (*) 
DIANE 35 GRAGEAS X 21 (*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,DIANE 35 GRAGEAS X 21 (*) 
TESTOVIRON DEP 250MG AMP 1X1 ML(*),,,,,BAYER -Gineco,,,,,,,,,,,,,,,,,TESTOVIRON DEP 250MG AMP 1X1 ML(*) 
7791763002105FE  DIV.GENERAL59782,,,,,,,,,,,,,,,,,,,,,,7791763002105FE  DIV.GENERAL59782 
7791763001306FE  DIV.GENERAL59782,,,,,,,,,,,,,,,,,,,,,,7791763001306FE  DIV.GENERAL59782 
7791763001313FE  DIV.GENERAL47193,,,,,,,,,,,,,,,,,,,,,,7791763001313FE  DIV.GENERAL47193 
7791763001399FE  DIV.GENERAL55724,,,,,,,,,,,,,,,,,,,,,,7791763001399FE  DIV.GENERAL55724 
7791763001405FE  DIV.GENERAL53902,,,,,,,,,,,,,,,,,,,,,,7791763001405FE  DIV.GENERAL53902 
7791763002198FE  DIV.GENERAL49712,,,,,,,,,,,,,,,,,,,,,,7791763002198FE  DIV.GENERAL49712 
7791763002259FE  DIV.GENERAL52893,,,,,,,,,,,,,,,,,,,,,,7791763002259FE  DIV.GENERAL52893 
7791763001412FE  DIV.GENERAL43101,,,,,,,,,,,,,,,,,,,,,,7791763001412FE  DIV.GENERAL43101 
7791763337740FE  DIV.GENERAL23837,,,,,,,,,,,,,,,,,,,,,,7791763337740FE  DIV.GENERAL23837 
7791763001504FE  DIV.GENERAL,,,,,,,,,,,,,,,,,,,,,,7791763001504FE  DIV.GENERAL 
7791763001511FE  DIV.GENERAL,,,,,,,,,,,,,,,,,,,,,,7791763001511FE  DIV.GENERAL 
Atorvax Atorvastatina10 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Atorvax Atorvastatina10 mg Comp x 30
Atorvax Atorvastatina10 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Atorvax Atorvastatina10 mg Comp x 30
Atorvax Atorvastatina20 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Atorvax Atorvastatina20 mg Comp x 30
Amlopaw Amlodipina10 mg,Comp x 50,,,,,,,,,,,,,,,,,,,,,Amlopaw Amlodipina10 mg Comp x 50
AmlopawAmlodipina10 mg,Comp x 60,,,,,,,,,,,,,,,,,,,,,AmlopawAmlodipina10 mg Comp x 60
ApecurAripiprazol5 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,ApecurAripiprazol5 mg Comp x 30
ApecurAripiprazol15 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,ApecurAripiprazol15 mg Comp x 30
ApecurAripiprazol10 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,ApecurAripiprazol10 mg Comp x 30
Diclofenac Potasico ROSPAWDiclofenac PotÃ¡sico50 mg,comp x 20,,,,,,,,,,,,,,,,,,,,,Diclofenac Potasico ROSPAWDiclofenac PotÃ¡sico50 mg comp x 20
Faxipaw Venlafaxina50 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Faxipaw Venlafaxina50 mg Comp x 30
FaxipawVenlafaxina75 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,FaxipawVenlafaxina75 mg Comp x 30
Ibuprofeno rospaw 400 VlIbuprofeno400mg,Comp. X 10,,,,,,,,,,,,,,,,,,,,,Ibuprofeno rospaw 400 VlIbuprofeno400mg Comp. X 10
Ibuprofeno rospaw 400 VlIbuprofeno400mg,Comp. X 20,,,,,,,,,,,,,,,,,,,,,Ibuprofeno rospaw 400 VlIbuprofeno400mg Comp. X 20
Ketial 10Ketorolac10 mg,Comp x 10,,,,,,,,,,,,,,,,,,,,,Ketial 10Ketorolac10 mg Comp x 10
Ketial 10Ketorolac10 mg,Comp x 20,,,,,,,,,,,,,,,,,,,,,Ketial 10Ketorolac10 mg Comp x 20
Ketial 20Ketorolac20 mg,Comp x 10,,,,,,,,,,,,,,,,,,,,,Ketial 20Ketorolac20 mg Comp x 10
Ketial 20Ketorolac20 mg,Comp x 20,,,,,,,,,,,,,,,,,,,,,Ketial 20Ketorolac20 mg Comp x 20
Ketial RapidKetorolac10 mg,Comp x 10,,,,,,,,,,,,,,,,,,,,,Ketial RapidKetorolac10 mg Comp x 10
LevitrinSildenafil50mg,50mg Comp. X 2,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil50mg 50mg Comp. X 2
LevitrinSildenafil50mg,50mg Comp. X 10,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil50mg 50mg Comp. X 10
LevitrinSildenafil50mg,50mg Comp. X 30,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil50mg 50mg Comp. X 30
LevitrinSildenafil100mg,100 mg Comp. X 2,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil100mg 100 mg Comp. X 2
LevitrinSildenafil100mg,100 mg Comp. X 10,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil100mg 100 mg Comp. X 10
LevitrinSildenafil100mg,100 mg Comp. X 20,,,,,,,,,,,,,,,,,,,,,LevitrinSildenafil100mg 100 mg Comp. X 20
MelatrixMelatonina3 mg,Comp x 20,,,,,,,,,,,,,,,,,,,,,MelatrixMelatonina3 mg Comp x 20
Loratadina RospawLoratadina10mg,Comp. X 10,,,,,,,,,,,,,,,,,,,,,Loratadina RospawLoratadina10mg Comp. X 10
Olanzapina Olanzapina5 mg,Comp x 14,,,,,,,,,,,,,,,,,,,,,Olanzapina Olanzapina5 mg Comp x 14
Olanzapina Olanzapina5 mg,Comp x 28,,,,,,,,,,,,,,,,,,,,,Olanzapina Olanzapina5 mg Comp x 28
Olanzapina RospawOlanzapina10 mg,Comp x 14,,,,,,,,,,,,,,,,,,,,,Olanzapina RospawOlanzapina10 mg Comp x 14
QuetiarosQuetiapina25 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,QuetiarosQuetiapina25 mg Comp x 30
Rospower36Tadalafilo20 mg,comp x 1,,,,,,,,,,,,,,,,,,,,,Rospower36Tadalafilo20 mg comp x 1
Rospower36Tadalafilo20 mg,comp x 2,,,,,,,,,,,,,,,,,,,,,Rospower36Tadalafilo20 mg comp x 2
Rospower36Tadalafilo20 mg,comp x 4,,,,,,,,,,,,,,,,,,,,,Rospower36Tadalafilo20 mg comp x 4
Rospower36Tadalafilo5 mg,comp x 30,,,,,,,,,,,,,,,,,,,,,Rospower36Tadalafilo5 mg comp x 30
Prokullansoprazol30 mg,Caps x 30,,,,,,,,,,,,,,,,,,,,,Prokullansoprazol30 mg Caps x 30
Secodal lorazepam1mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Secodal lorazepam1mg Comp x 30
Secodallorazepam1mg,Comp x 60,,,,,,,,,,,,,,,,,,,,,Secodallorazepam1mg Comp x 60
Secodal lorazepam2 mg,Comp x 30,,,,,,,,,,,,,,,,,,,,,Secodal lorazepam2 mg Comp x 30
Secodal lorazepam2 mg,Comp x 60,,,,,,,,,,,,,,,,,,,,,Secodal lorazepam2 mg Comp x 60
"Secodal lorazepam2,5 mg",Comp x 30,,,,,,,,,,,,,,,,,,,,,"Secodal lorazepam2,5 mg Comp x 30"
"Secodallorazepam2,5 mg",Comp x 60,,,,,,,,,,,,,,,,,,,,,"Secodallorazepam2,5 mg Comp x 60"
Secodal  subl lorazepam1 mg,Comp SUBL x 30,,,,,,,,,,,,,,,,,,,,,Secodal  subl lorazepam1 mg Comp SUBL x 30
Secodal  subl lorazepam2 mg,Comp SUBL x 30,,,,,,,,,,,,,,,,,,,,,Secodal  subl lorazepam2 mg Comp SUBL x 30
Vintex LosartÃ¡n50mg,Comp. Rec. X 60,,,,,,,,,,,,,,,,,,,,,Vintex LosartÃ¡n50mg Comp. Rec. X 60
Vintex LosartÃ¡n100mg,Comp. Rec. X 60,,,,,,,,,,,,,,,,,,,,,Vintex LosartÃ¡n100mg Comp. Rec. X 60
ACENOCUMAROL ROSPAW,4 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,ACENOCUMAROL ROSPAW 4 mg x 1000 comp
ATORVASTATINA (ATORVAX),10 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,ATORVASTATINA (ATORVAX) 10 mg x 1000 comp
ATORVASTATINA (ATORVAX),20 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,ATORVASTATINA (ATORVAX) 20 mg x 1000 comp
ALPRAZOLAM (ROSPAZ),"0,5 mg x 1500 comp",,,,,,,,,,,,,,,,,,,,,"ALPRAZOLAM (ROSPAZ) 0,5 mg x 1500 comp"
ALPRAZOLAM (ROSPAZ),1 mg x 1500 comp,,,,,,,,,,,,,,,,,,,,,ALPRAZOLAM (ROSPAZ) 1 mg x 1500 comp
ALPRAZOLAM (ROSPAZ),2 mg x 1500 comp,,,,,,,,,,,,,,,,,,,,,ALPRAZOLAM (ROSPAZ) 2 mg x 1500 comp
CARVEDILOL (CARVIPAW),25 mg x1000 comp,,,,,,,,,,,,,,,,,,,,,CARVEDILOL (CARVIPAW) 25 mg x1000 comp
CILOSTAZOL (CILOSPAW),50 mg x 500 comp,,,,,,,,,,,,,,,,,,,,,CILOSTAZOL (CILOSPAW) 50 mg x 500 comp
DICLOFENC ROSPAW POT,50 mg x 500 comp,,,,,,,,,,,,,,,,,,,,,DICLOFENC ROSPAW POT 50 mg x 500 comp
ESCITALOPRAM (ROSTALOPRAM),20 mg x 900 comp,,,,,,,,,,,,,,,,,,,,,ESCITALOPRAM (ROSTALOPRAM) 20 mg x 900 comp
IBUPROFENO ROSPAW,400 mg x 500 comp,,,,,,,,,,,,,,,,,,,,,IBUPROFENO ROSPAW 400 mg x 500 comp
METFORMINA ROSPAW,500 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,METFORMINA ROSPAW 500 mg x 1000 comp
LOPERAMIDA (LOPERIX),2 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,LOPERAMIDA (LOPERIX) 2 mg x 1000 comp
LORATADINA ROSPAW,10 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,LORATADINA ROSPAW 10 mg x 1000 comp
PAROXETINA (PAROXIN),10 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,PAROXETINA (PAROXIN) 10 mg x 1000 comp
PROMETAZINA (ROSTAZINA),25 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,PROMETAZINA (ROSTAZINA) 25 mg x 1000 comp
LOSARTAN (VINTEX),50 mg x 1000 comp,,,,,,,,,,,,,,,,,,,,,LOSARTAN (VINTEX) 50 mg x 1000 comp
comp x 2vto 05-26,"Atorvax0,85",,,,,,,,,,,,,,,,,,,,,"comp x 2vto 05-26 Atorvax0,85"
comp x 4vto 04-25,"Atorvax0,85",,,,,,,,,,,,,,,,,,,,,"comp x 4vto 04-25 Atorvax0,85"
comp x 30vto 11-25,"Atorvax0,85",,,,,,,,,,,,,,,,,,,,,"comp x 30vto 11-25 Atorvax0,85"
Caps x 30vto 11-25,"Amlopaw0,87",,,,,,,,,,,,,,,,,,,,,"Caps x 30vto 11-25 Amlopaw0,87"
Comp x 30vto 0825,"Amlopaw0,85",,,,,,,,,,,,,,,,,,,,,"Comp x 30vto 0825 Amlopaw0,85"
"0,85Comp x 60vto 0825","Apecur0,75",,,,,,,,,,,,,,,,,,,,,"0,85Comp x 60vto 0825 Apecur0,75"
"0,85Comp x 30vto 0126","Apecur0,8",,,,,,,,,,,,,,,,,,,,,"0,85Comp x 30vto 0126 Apecur0,8"
"0,85Comp x 60vto 07-25","Apecur0,7",,,,,,,,,,,,,,,,,,,,,"0,85Comp x 60vto 07-25 Apecur0,7"
"0,87Comp x 30vto 01-26","Diclofenac Potasico ROSPAW0,7",,,,,,,,,,,,,,,,,,,,,"0,87Comp x 30vto 01-26 Diclofenac Potasico ROSPAW0,7"
"0,85Comp x 60vto 05-26","Faxipaw 0,7",,,,,,,,,,,,,,,,,,,,,"0,85Comp x 60vto 05-26 Faxipaw 0,7"
"0,75Comp SUBL x 30vto 05-26","Faxipaw0,55",,,,,,,,,,,,,,,,,,,,,"0,75Comp SUBL x 30vto 05-26 Faxipaw0,55"
"0,8Comp SUBL x 30vto 05-26","Ibuprofeno rospaw 400 Vl0,75",,,,,,,,,,,,,,,,,,,,,"0,8Comp SUBL x 30vto 05-26 Ibuprofeno rospaw 400 Vl0,75"
"0,7Comp. Rec. X 60vto 05-26","Ibuprofeno rospaw 400 Vl0,75",,,,,,,,,,,,,,,,,,,,,"0,7Comp. Rec. X 60vto 05-26 Ibuprofeno rospaw 400 Vl0,75"
"0,7Comp. Rec. X 60vto 05-26","Ketial 100,75",,,,,,,,,,,,,,,,,,,,,"0,7Comp. Rec. X 60vto 05-26 Ketial 100,75"
"0,74 mg x 1000 compvto 05-26","Ketial 100,75",,,,,,,,,,,,,,,,,,,,,"0,74 mg x 1000 compvto 05-26 Ketial 100,75"
"0,5510 mg x 1000 compvto 0426","Ketial 200,65",,,,,,,,,,,,,,,,,,,,,"0,5510 mg x 1000 compvto 0426 Ketial 200,65"
